"Land","Jahr","Kategorie","Wert"
"Japan",2016,"KM6",0
"Jordanien",2016,"KM6",0
"Katar",2016,"KM6",0
"Südkorea",2016,"KM6",0
"Kuwait",2016,"KM6",0
"Macau",2016,"KM6",0
"Malaysia",2016,"KM6",0
"Oman",2016,"KM6",1835
"Pakistan",2016,"KM6",0
"Philippinen",2016,"KM6",0
"Saudi-Arabien",2016,"KM6",0
"Singapur",2016,"KM6",112880
"Vietnam",2016,"KM6",0
"Australien",2016,"KM6",220000
"Neuseeland",2016,"KM6",0
"Belgien",2000,"KM7",0
"Dänemark",2000,"KM7",0
"Deutschland",2000,"KM7",0
"Finnland",2000,"KM7",0
"Frankreich",2000,"KM7",0
"Grossbritannien",2000,"KM7",0
"Griechenland",2000,"KM7",0
"Island",2000,"KM7",0
"Italien",2000,"KM7",0
"Litauen",2000,"KM7",0
"Luxemburg",2000,"KM7",0
"Malta",2000,"KM7",0
"Niederlande",2000,"KM7",0
"Norwegen",2000,"KM7",0
"Österreich",2000,"KM7",0
"Polen",2000,"KM7",0
"Rumänien",2000,"KM7",0
"Schweden",2000,"KM7",0
"Slowakei",2000,"KM7",0
"Spanien",2000,"KM7",0
"Tschechien",2000,"KM7",0
"Ungarn",2000,"KM7",0
"Ägypten",2000,"KM7",0
"Elfenbeinküste",2000,"KM7",0
"Guinea",2000,"KM7",0
"Kenia",2000,"KM7",0
"Niger",2000,"KM7",0
"Südafrika",2000,"KM7",0
"Sudan",2000,"KM7",0
"Tansania",2000,"KM7",0
"Tunesien",2000,"KM7",0
"Argentinien",2000,"KM7",0
"Barbados",2000,"KM7",0
"Belize",2000,"KM7",0
"Brasilien",2000,"KM7",0
"Chile",2000,"KM7",0
"Ecuador",2000,"KM7",0
"Honduras",2000,"KM7",0
"Kanada",2000,"KM7",0
"El Salvador",2000,"KM7",0
"USA",2000,"KM7",682
"Venezuela",2000,"KM7",0
"Vereinigte Arabische Emirate",2000,"KM7",0
"Bahrain",2000,"KM7",0
"Brunei",2000,"KM7",0
"Hong-Kong",2000,"KM7",0
"Japan",2000,"KM7",0
"Jordanien",2000,"KM7",0
"Kuwait",2000,"KM7",0
"Malaysia",2000,"KM7",0
"Oman",2000,"KM7",0
"Pakistan",2000,"KM7",0
"Philippinen",2000,"KM7",0
"Saudi-Arabien",2000,"KM7",0
"Singapur",2000,"KM7",0
"Südkorea",2000,"KM7",0
"Thailand",2000,"KM7",0
"Belgien",2001,"KM7",0
"Dänemark",2001,"KM7",0
"Deutschland",2001,"KM7",0
"Finnland",2001,"KM7",0
"Frankreich",2001,"KM7",0
"Grossbritannien",2001,"KM7",0
"Griechenland",2001,"KM7",0
"Irland",2001,"KM7",0
"Island",2001,"KM7",0
"Italien",2001,"KM7",295059
"Kasachstan",2001,"KM7",0
"Luxemburg",2001,"KM7",0
"Lettland",2001,"KM7",0
"Litauen",2001,"KM7",0
"Malta",2001,"KM7",0
"Niederlande",2001,"KM7",0
"Norwegen",2001,"KM7",0
"Österreich",2001,"KM7",0
"Polen",2001,"KM7",0
"Portugal",2001,"KM7",0
"Rumänien",2001,"KM7",0
"Schweden",2001,"KM7",0
"Slowakei",2001,"KM7",0
"Slowenien",2001,"KM7",0
"Spanien",2001,"KM7",0
"Tschechien",2001,"KM7",0
"Türkei",2001,"KM7",0
"Zypern",2001,"KM7",0
"Ägypten",2001,"KM7",0
"Botswana",2001,"KM7",0
"Burkina Faso",2001,"KM7",0
"Elfenbeinküste",2001,"KM7",0
"Gabun",2001,"KM7",0
"Kenia",2001,"KM7",0
"Madagaskar",2001,"KM7",0
"Malawi",2001,"KM7",0
"Südafrika",2001,"KM7",0
"Sudan",2001,"KM7",0
"Sambia",2001,"KM7",0
"Uganda",2001,"KM7",0
"Vereinigte Arabische Emirate",2001,"KM7",39600
"Australien",2001,"KM7",0
"Bahrain",2001,"KM7",0
"Hong-Kong",2001,"KM7",0
"Indien",2001,"KM7",0
"Indonesien",2001,"KM7",0
"Japan",2001,"KM7",0
"Jordanien",2001,"KM7",0
"Katar",2001,"KM7",0
"Südkorea",2001,"KM7",0
"Kuwait",2001,"KM7",0
"Macau",2001,"KM7",0
"Malaysia",2001,"KM7",0
"Neuseeland",2001,"KM7",0
"Oman",2001,"KM7",0
"Pakistan",2001,"KM7",0
"Philippinen",2001,"KM7",0
"Saudi-Arabien",2001,"KM7",0
"Singapur",2001,"KM7",3000
"Thailand",2001,"KM7",0
"Argentinien",2001,"KM7",0
"Barbados",2001,"KM7",0
"Brasilien",2001,"KM7",0
"Chile",2001,"KM7",0
"Kanada",2001,"KM7",0
"USA",2001,"KM7",0
"Belgien",2002,"KM7",0
"Bosnien-Herzegowina",2002,"KM7",0
"Bulgarien",2002,"KM7",0
"Dänemark",2002,"KM7",0
"Deutschland",2002,"KM7",24428
"Finnnland",2002,"KM7",0
"Frankreich",2002,"KM7",0
"Grossbritannien",2002,"KM7",0
"Irland",2002,"KM7",0
"Island",2002,"KM7",0
"Italien",2002,"KM7",4845
"Lettland",2002,"KM7",0
"Luxemburg",2002,"KM7",0
"Niederlande",2002,"KM7",0
"Norwegen",2002,"KM7",0
"Österreich",2002,"KM7",0
"Polen",2002,"KM7",0
"Rumänien",2002,"KM7",0
"Schweden",2002,"KM7",4483
"Slowakei",2002,"KM7",0
"Spanien",2002,"KM7",0
"Tschechien",2002,"KM7",0
"Türkei",2002,"KM7",0
"Ungarn",2002,"KM7",0
"Ägypten",2002,"KM7",0
"Benin",2002,"KM7",0
"Kap Verde",2002,"KM7",0
"Elfenbeinküste",2002,"KM7",0
"Gabun",2002,"KM7",0
"Südafrika",2002,"KM7",0
"Sudan",2002,"KM7",0
"Tansania",2002,"KM7",0
"Tunesien",2002,"KM7",0
"Argentinien",2002,"KM7",0
"Barbados",2002,"KM7",0
"Brasilien",2002,"KM7",0
"Chile",2002,"KM7",0
"Dominikanische Republik",2002,"KM7",0
"Ecuador",2002,"KM7",0
"Kanada",2002,"KM7",0
"Macau",2002,"KM7",0
"USA",2002,"KM7",0
"Venezuela",2002,"KM7",0
"Vereinigte Arabische Emirate",2002,"KM7",0
"Bahrain",2002,"KM7",0
"Hong-Kong",2002,"KM7",0
"Israel",2002,"KM7",0
"Japan",2002,"KM7",0
"Jordanien",2002,"KM7",0
"Katar",2002,"KM7",0
"Südkorea",2002,"KM7",0
"Kuwait",2002,"KM7",0
"Malaysia",2002,"KM7",0
"Oman",2002,"KM7",0
"Philippinen",2002,"KM7",0
"Saudi-Arabien",2002,"KM7",0
"Singapur",2002,"KM7",10140
"Thailand",2002,"KM7",0
"Australien",2002,"KM7",0
"Andorra",2003,"KM7",0
"Belgien",2003,"KM7",940
"Bosnien-Herzegowina",2003,"KM7",0
"Bulgarien",2003,"KM7",0
"Dänemark",2003,"KM7",0
"Deutschland",2003,"KM7",27647
"Estland",2003,"KM7",0
"Finnland",2003,"KM7",75205
"Frankreich",2003,"KM7",0
"Griechenland",2003,"KM7",0
"Grossbritannien",2003,"KM7",0
"Irland",2003,"KM7",0
"Island",2003,"KM7",0
"Italien",2003,"KM7",0
"Litauen",2003,"KM7",0
"Luxemburg",2003,"KM7",0
"Malta",2003,"KM7",0
"Niederlande",2003,"KM7",0
"Norwegen",2003,"KM7",0
"Österreich",2003,"KM7",0
"Polen",2003,"KM7",0
"Portugal",2003,"KM7",0
"Rumänien",2003,"KM7",0
"Russland",2003,"KM7",0
"San Marino",2003,"KM7",0
"Schweden",2003,"KM7",10800
"Slowakei",2003,"KM7",0
"Slowenien",2003,"KM7",0
"Spanien",2003,"KM7",0
"Tschechien",2003,"KM7",0
"Türkei",2003,"KM7",0
"Ungarn",2003,"KM7",825
"Ägypten",2003,"KM7",0
"Benin",2003,"KM7",0
"Botswana",2003,"KM7",0
"Gabun",2003,"KM7",0
"Ghana",2003,"KM7",0
"Südafrika",2003,"KM7",0
"Tansania",2003,"KM7",0
"Tunesien",2003,"KM7",0
"Argentinien",2003,"KM7",0
"Barbados",2003,"KM7",0
"Brasilien",2003,"KM7",0
"Chile",2003,"KM7",0
"Dominikanische Republik",2003,"KM7",0
"Kanada",2003,"KM7",0
"USA",2003,"KM7",0
"Vereinigte Arabische Emirate",2003,"KM7",0
"Bahrain",2003,"KM7",0
"Indonesien",2003,"KM7",0
"Japan",2003,"KM7",0
"Jordanien",2003,"KM7",0
"Südkorea",2003,"KM7",0
"Kuwait",2003,"KM7",0
"Libanon",2003,"KM7",0
"Macau",2003,"KM7",0
"Malaysia",2003,"KM7",31000
"Oman",2003,"KM7",0
"Pakistan",2003,"KM7",0
"Philippinen",2003,"KM7",0
"Saudi-Arabien",2003,"KM7",0
"Singapur",2003,"KM7",0
"Thailand",2003,"KM7",0
"Australien",2003,"KM7",0
"Neuseeland",2003,"KM7",0
"Belgien",2004,"KM7",0
"Bosnien-Herzegowina",2004,"KM7",0
"Bulgarien",2004,"KM7",0
"Dänemark",2004,"KM7",0
"Deutschland",2004,"KM7",99698
"Estland",2004,"KM7",0
"Finnland",2004,"KM7",0
"Frankreich",2004,"KM7",0
"Griechenland",2004,"KM7",0
"Grossbritannien",2004,"KM7",3960
"Irland",2004,"KM7",0
"Italien",2004,"KM7",0
"Lettland",2004,"KM7",0
"Litauen",2004,"KM7",0
"Luxemburg",2004,"KM7",0
"Malta",2004,"KM7",0
"Niederlande",2004,"KM7",0
"Norwegen",2004,"KM7",0
"Österreich",2004,"KM7",0
"Polen",2004,"KM7",0
"Portugal",2004,"KM7",0
"Rumänien",2004,"KM7",0
"Russland",2004,"KM7",0
"San Marino",2004,"KM7",0
"Schweden",2004,"KM7",0
"Slowakei",2004,"KM7",0
"Slowenien",2004,"KM7",0
"Spanien",2004,"KM7",0
"Tschechien",2004,"KM7",0
"Türkei",2004,"KM7",0
"Ungarn",2004,"KM7",0
"Ägypten",2004,"KM7",0
"Botswana",2004,"KM7",0
"Kenia",2004,"KM7",0
"Südafrika",2004,"KM7",0
"Tunesien",2004,"KM7",0
"Argentinien",2004,"KM7",0
"Brasilien",2004,"KM7",0
"Chile",2004,"KM7",0
"Dominikanische Republik",2004,"KM7",0
"Kanada",2004,"KM7",0
"Uruguay",2004,"KM7",0
"USA",2004,"KM7",0
"Vereinigte Arabische Emirate",2004,"KM7",0
"Bahrain",2004,"KM7",0
"Hong-Kong",2004,"KM7",0
"Indonesien",2004,"KM7",0
"Japan",2004,"KM7",0
"Jordanien",2004,"KM7",0
"Südkorea",2004,"KM7",0
"Kuwait",2004,"KM7",0
"Libanon",2004,"KM7",0
"Macau",2004,"KM7",0
"Malaysia",2004,"KM7",0
"Oman",2004,"KM7",0
"Saudi-Arabien",2004,"KM7",0
"Singapur",2004,"KM7",0
"Thailand",2004,"KM7",0
"Australien",2004,"KM7",0
"Belgien",2005,"KM7",0
"Bosnien-Herzegowina",2005,"KM7",0
"Bulgarien",2005,"KM7",0
"Dänemark",2005,"KM7",0
"Deutschland",2005,"KM7",58372
"Estland",2005,"KM7",0
"Finnland",2005,"KM7",0
"Frankreich",2005,"KM7",0
"Griechenland",2005,"KM7",0
"Grossbritannien",2005,"KM7",13527
"Irland",2005,"KM7",0
"Island",2005,"KM7",0
"Italien",2005,"KM7",0
"Kasachstan",2005,"KM7",0
"Kirgisistan",2005,"KM7",0
"Kroatien",2005,"KM7",0
"Litauen",2005,"KM7",0
"Luxemburg",2005,"KM7",0
"Malta",2005,"KM7",0
"Niederlande",2005,"KM7",0
"Norwegen",2005,"KM7",0
"Österreich",2005,"KM7",0
"Polen",2005,"KM7",0
"Portugal",2005,"KM7",0
"Rumänien",2005,"KM7",0
"San Marino",2005,"KM7",0
"Schweden",2005,"KM7",0
"Slowakei",2005,"KM7",0
"Slowenien",2005,"KM7",0
"Spanien",2005,"KM7",0
"Tschechien",2005,"KM7",0
"Türkei",2005,"KM7",0
"Ungarn",2005,"KM7",1950
"Zypern",2005,"KM7",0
"Ägypten",2005,"KM7",0
"Benin",2005,"KM7",0
"Botswana",2005,"KM7",0
"Burkina Faso",2005,"KM7",0
"Kamerun",2005,"KM7",0
"Libyen",2005,"KM7",0
"Namibia",2005,"KM7",0
"Niger",2005,"KM7",0
"Südafrika",2005,"KM7",0
"Tunesien",2005,"KM7",0
"Argentinien",2005,"KM7",0
"Barbados",2005,"KM7",0
"Brasilien",2005,"KM7",0
"Chile",2005,"KM7",0
"Costa Rica",2005,"KM7",0
"Dominikanische Republik",2005,"KM7",0
"Kanada",2005,"KM7",0
"Peru",2005,"KM7",0
"USA",2005,"KM7",0
"Vereinigte Arabische Emirate",2005,"KM7",0
"Bahrain",2005,"KM7",0
"Bhutan",2005,"KM7",0
"Brunei",2005,"KM7",0
"Hong-Kong",2005,"KM7",0
"Indien",2005,"KM7",0
"Indonesien",2005,"KM7",0
"Japan",2005,"KM7",0
"Jordanien",2005,"KM7",0
"Kuwait",2005,"KM7",0
"Libanon",2005,"KM7",0
"Macau",2005,"KM7",0
"Malaysia",2005,"KM7",0
"Oman",2005,"KM7",0
"Saudi-Arabien",2005,"KM7",0
"Singapur",2005,"KM7",42600
"Thailand",2005,"KM7",0
"Australien",2005,"KM7",0
"Neuseeland",2005,"KM7",0
"Belgien",2006,"KM7",0
"Bosnien-Herzegowina",2006,"KM7",0
"Bulgarien",2006,"KM7",0
"Dänemark",2006,"KM7",0
"Deutschland",2006,"KM7",88280
"Estland",2006,"KM7",0
"Finnland",2006,"KM7",0
"Frankreich",2006,"KM7",0
"Griechenland",2006,"KM7",0
"Grossbritannien",2006,"KM7",0
"Irland",2006,"KM7",0
"Island",2006,"KM7",0
"Italien",2006,"KM7",0
"Kroatien",2006,"KM7",0
"Lettland",2006,"KM7",0
"Litauen",2006,"KM7",89696
"Luxemburg",2006,"KM7",0
"Niederlande",2006,"KM7",0
"Norwegen",2006,"KM7",0
"Österreich",2006,"KM7",0
"Polen",2006,"KM7",0
"Portugal",2006,"KM7",0
"Rumänien",2006,"KM7",0
"San Marino",2006,"KM7",0
"Schweden",2006,"KM7",0
"Slowakei",2006,"KM7",0
"Slowenien",2006,"KM7",0
"Spanien",2006,"KM7",8000
"Tschechien",2006,"KM7",0
"Türkei",2006,"KM7",0
"Ungarn",2006,"KM7",0
"Zypern",2006,"KM7",0
"Ägypten",2006,"KM7",0
"Benin",2006,"KM7",0
"Botswana",2006,"KM7",0
"Guinea-Bissau",2006,"KM7",0
"Kamerun",2006,"KM7",0
"Namibia",2006,"KM7",0
"Niger",2006,"KM7",0
"Südafrika",2006,"KM7",0
"Argentinien",2006,"KM7",0
"Barbados",2006,"KM7",0
"Brasilien",2006,"KM7",0
"Chile",2006,"KM7",0
"Kanada",2006,"KM7",0
"USA",2006,"KM7",0
"Vereinigte Arabische Emirate",2006,"KM7",0
"Bahrain",2006,"KM7",0
"Hong-Kong",2006,"KM7",0
"Indien",2006,"KM7",0
"Japan",2006,"KM7",0
"Jordanien",2006,"KM7",0
"Katar",2006,"KM7",0
"Südkorea",2006,"KM7",0
"Kuwait",2006,"KM7",0
"Macau",2006,"KM7",0
"Malaysia",2006,"KM7",0
"Oman",2006,"KM7",0
"Saudi-Arabien",2006,"KM7",0
"Singapur",2006,"KM7",0
"Australien",2006,"KM7",0
"Neuseeland",2006,"KM7",0
"Belgien",2007,"KM7",0
"Bosnien-Herzegowina",2007,"KM7",0
"Bulgarien",2007,"KM7",0
"Dänemark",2007,"KM7",0
"Deutschland",2007,"KM7",1991
"Estland",2007,"KM7",0
"Finnland",2007,"KM7",0
"Frankreich",2007,"KM7",0
"Griechenland",2007,"KM7",0
"Grossbritannien",2007,"KM7",0
"Irland",2007,"KM7",0
"Island",2007,"KM7",0
"Italien",2007,"KM7",0
"Kasachstan",2007,"KM7",0
"Kroatien",2007,"KM7",0
"Litauen",2007,"KM7",0
"Luxemburg",2007,"KM7",0
"Malta",2007,"KM7",0
"Niederlande",2007,"KM7",0
"Norwegen",2007,"KM7",0
"Österreich",2007,"KM7",0
"Polen",2007,"KM7",0
"Portugal",2007,"KM7",0
"Rumänien",2007,"KM7",0
"Russland",2007,"KM7",0
"San Marino",2007,"KM7",0
"Schweden",2007,"KM7",10400
"Slowakei",2007,"KM7",0
"Slowenien",2007,"KM7",0
"Spanien",2007,"KM7",0
"Tschechien",2007,"KM7",0
"Türkei",2007,"KM7",0
"Ukraine",2007,"KM7",0
"Ungarn",2007,"KM7",31686
"Zypern",2007,"KM7",0
"Ägypten",2007,"KM7",0
"Kenia",2007,"KM7",0
"Niger",2007,"KM7",0
"Südafrika",2007,"KM7",0
"Argentinien",2007,"KM7",0
"Barbados",2007,"KM7",0
"Brasilien",2007,"KM7",0
"Chile",2007,"KM7",0
"Kanada",2007,"KM7",0
"USA",2007,"KM7",0
"Uruguay",2007,"KM7",0
"Venezuela",2007,"KM7",0
"Vereinigte Arabische Emirate",2007,"KM7",0
"Bahrain",2007,"KM7",0
"Hong-Kong",2007,"KM7",0
"Indien",2007,"KM7",0
"Japan",2007,"KM7",0
"Jordanien",2007,"KM7",0
"Katar",2007,"KM7",0
"Südkorea",2007,"KM7",0
"Kuwait",2007,"KM7",0
"Libanon",2007,"KM7",0
"Macau",2007,"KM7",0
"Malaysia",2007,"KM7",0
"Oman",2007,"KM7",0
"Pakistan",2007,"KM7",0
"Saudi-Arabien",2007,"KM7",0
"Singapur",2007,"KM7",0
"Thailand",2007,"KM7",0
"Australien",2007,"KM7",0
"Neuseeland",2007,"KM7",0
"Andorra",2008,"KM7",0
"Belgien",2008,"KM7",0
"Bosnien-Herzegowina",2008,"KM7",0
"Bulgarien",2008,"KM7",0
"Dänemark",2008,"KM7",0
"Deutschland",2008,"KM7",19293
"Estland",2008,"KM7",0
"Finnland",2008,"KM7",0
"Frankreich",2008,"KM7",0
"Griechenland",2008,"KM7",0
"Grossbritannien",2008,"KM7",0
"Irland",2008,"KM7",0
"Island",2008,"KM7",0
"Italien",2008,"KM7",0
"Kasachstan",2008,"KM7",0
"Kroatien",2008,"KM7",0
"Lettland",2008,"KM7",53735
"Litauen",2008,"KM7",0
"Luxemburg",2008,"KM7",0
"Malta",2008,"KM7",0
"Niederlande",2008,"KM7",0
"Norwegen",2008,"KM7",0
"Österreich",2008,"KM7",0
"Polen",2008,"KM7",0
"Portugal",2008,"KM7",0
"Rumänien",2008,"KM7",0
"Russland",2008,"KM7",0
"San Marino",2008,"KM7",0
"Schweden",2008,"KM7",0
"Serbien",2008,"KM7",0
"Slowakei",2008,"KM7",0
"Slowenien",2008,"KM7",842
"Spanien",2008,"KM7",17930
"Tschechien",2008,"KM7",0
"Türkei",2008,"KM7",0
"Ukraine",2008,"KM7",0
"Zypern",2008,"KM7",0
"Ägypten",2008,"KM7",0
"Botswana",2008,"KM7",0
"Ghana",2008,"KM7",0
"Kamerun",2008,"KM7",0
"Kenia",2008,"KM7",0
"Niger",2008,"KM7",0
"Südafrika",2008,"KM7",0
"Tansania",2008,"KM7",0
"Argentinien",2008,"KM7",0
"Brasilien",2008,"KM7",0
"Chile",2008,"KM7",0
"Ecuador",2008,"KM7",0
"Kanada",2008,"KM7",0
"USA",2008,"KM7",0
"Vereinigte Arabische Emirate",2008,"KM7",0
"Bahrain",2008,"KM7",0
"Bangladesch",2008,"KM7",0
"Hong-Kong",2008,"KM7",0
"Indien",2008,"KM7",0
"Israel",2008,"KM7",0
"Japan",2008,"KM7",0
"Jordanien",2008,"KM7",0
"Katar",2008,"KM7",0
"Südkorea",2008,"KM7",0
"Kuwait",2008,"KM7",0
"Libanon",2008,"KM7",0
"Macau",2008,"KM7",0
"Malaysia",2008,"KM7",0
"Oman",2008,"KM7",0
"Pakistan",2008,"KM7",0
"Saudi-Arabien",2008,"KM7",0
"Singapur",2008,"KM7",0
"Thailand",2008,"KM7",0
"Australien",2008,"KM7",0
"Neuseeland",2008,"KM7",0
"Belgien",2009,"KM7",0
"Bosnien-Herzegowina",2009,"KM7",0
"Bulgarien",2009,"KM7",0
"Dänemark",2009,"KM7",0
"Deutschland",2009,"KM7",6225
"Estland",2009,"KM7",0
"Finnland",2009,"KM7",0
"Frankreich",2009,"KM7",31
"Griechenland",2009,"KM7",0
"Grossbritannien",2009,"KM7",0
"Heiliger Stuhl",2009,"KM7",0
"Irland",2009,"KM7",0
"Italien",2009,"KM7",0
"Kosovo",2009,"KM7",0
"Kroatien",2009,"KM7",0
"Lettland",2009,"KM7",0
"Litauen",2009,"KM7",0
"Luxemburg",2009,"KM7",0
"Malta",2009,"KM7",0
"Montenegro",2009,"KM7",0
"Niederlande",2009,"KM7",0
"Norwegen",2009,"KM7",0
"Österreich",2009,"KM7",0
"Polen",2009,"KM7",0
"Portugal",2009,"KM7",0
"Rumänien",2009,"KM7",0
"San Marino",2009,"KM7",0
"Schweden",2009,"KM7",0
"Serbien",2009,"KM7",0
"Slowakei",2009,"KM7",0
"Slowenien",2009,"KM7",0
"Spanien",2009,"KM7",0
"Tschechien",2009,"KM7",0
"Türkei",2009,"KM7",0
"Ukraine",2009,"KM7",0
"Ungarn",2009,"KM7",0
"Zypern",2009,"KM7",0
"Ägypten",2009,"KM7",0
"Algerien",2009,"KM7",0
"Botswana",2009,"KM7",0
"Gabun",2009,"KM7",0
"Guinea",2009,"KM7",0
"Mali",2009,"KM7",0
"Niger",2009,"KM7",0
"Südafrika",2009,"KM7",0
"Brasilien",2009,"KM7",0
"Chile",2009,"KM7",0
"Ecuador",2009,"KM7",0
"Kanada",2009,"KM7",0
"Panama",2009,"KM7",0
"Trinidad Tobago",2009,"KM7",0
"USA",2009,"KM7",0
"Vereinigte Arabische Emirate",2009,"KM7",0
"Bahrain",2009,"KM7",0
"Brunei",2009,"KM7",0
"Hong-Kong",2009,"KM7",0
"Indonesien",2009,"KM7",0
"Indien",2009,"KM7",0
"Israel",2009,"KM7",0
"Japan",2009,"KM7",0
"Katar",2009,"KM7",0
"Südkorea",2009,"KM7",0
"Kuwait",2009,"KM7",0
"Macau",2009,"KM7",0
"Malaysia",2009,"KM7",0
"Oman",2009,"KM7",0
"Pakistan",2009,"KM7",0
"Saudi-Arabien",2009,"KM7",0
"Singapur",2009,"KM7",60820
"Suriname",2009,"KM7",0
"Thailand",2009,"KM7",0
"Turkmenistan",2009,"KM7",0
"Australien",2009,"KM7",0
"Neuseeland",2009,"KM7",0
"Belgien",2010,"KM7",0
"Bosnien-Herzegowina",2010,"KM7",0
"Bulgarien",2010,"KM7",0
"Dänemark",2010,"KM7",0
"Deutschland",2010,"KM7",10526
"Estland",2010,"KM7",0
"Finnland",2010,"KM7",0
"Frankreich",2010,"KM7",0
"Griechenland",2010,"KM7",0
"Grossbritannien",2010,"KM7",0
"Irland",2010,"KM7",0
"Island",2010,"KM7",0
"Italien",2010,"KM7",0
"Kosovo",2010,"KM7",0
"Kroatien",2010,"KM7",0
"Litauen",2010,"KM7",0
"Luxemburg",2010,"KM7",0
"Malta",2010,"KM7",0
"Niederlande",2010,"KM7",0
"Norwegen",2010,"KM7",166
"Österreich",2010,"KM7",0
"Polen",2010,"KM7",0
"Portugal",2010,"KM7",0
"Rumänien",2010,"KM7",0
"Russland",2010,"KM7",0
"Schweden",2010,"KM7",0
"Serbien",2010,"KM7",0
"Slowenien",2010,"KM7",0
"Spanien",2010,"KM7",0
"Tschechien",2010,"KM7",0
"Türkei",2010,"KM7",0
"Ukraine",2010,"KM7",0
"Ungarn",2010,"KM7",0
"Zypern",2010,"KM7",0
"Ägypten",2010,"KM7",0
"Botswana",2010,"KM7",0
"Kamerun",2010,"KM7",0
"Südafrika",2010,"KM7",0
"Argentinien",2010,"KM7",0
"Brasilien",2010,"KM7",0
"Chile",2010,"KM7",0
"Costa Rica",2010,"KM7",0
"Ecuador",2010,"KM7",0
"Kanada",2010,"KM7",0
"Paraguay",2010,"KM7",0
"Trinidad Tobago",2010,"KM7",0
"USA",2010,"KM7",0
"Venezuela",2010,"KM7",0
"Vereinigte Arabische Emirate",2010,"KM7",0
"Bahrain",2010,"KM7",0
"Indien",2010,"KM7",0
"Indonesien",2010,"KM7",0
"Japan",2010,"KM7",3513
"Jordanien",2010,"KM7",0
"Kasachstan",2010,"KM7",0
"Katar",2010,"KM7",0
"Südkorea",2010,"KM7",0
"Kuwait",2010,"KM7",0
"Libanon",2010,"KM7",0
"Macau",2010,"KM7",0
"Malaysia",2010,"KM7",0
"Oman",2010,"KM7",0
"Pakistan",2010,"KM7",0
"Saudi-Arabien",2010,"KM7",0
"Singapur",2010,"KM7",0
"Thailand",2010,"KM7",0
"Turkmenistan",2010,"KM7",0
"Australien",2010,"KM7",0
"Neuseeland",2010,"KM7",0
"Belgien",2011,"KM7",0
"Bosnien-Herzegowina",2011,"KM7",0
"Bulgarien",2011,"KM7",0
"Dänemark",2011,"KM7",0
"Deutschland",2011,"KM7",13146
"Estland",2011,"KM7",0
"Finnland",2011,"KM7",0
"Frankreich",2011,"KM7",0
"Griechenland",2011,"KM7",0
"Grossbritannien",2011,"KM7",0
"Irland",2011,"KM7",0
"Italien",2011,"KM7",0
"Kroatien",2011,"KM7",0
"Lettland",2011,"KM7",0
"Litauen",2011,"KM7",0
"Luxemburg",2011,"KM7",0
"Malta",2011,"KM7",0
"Niederlande",2011,"KM7",0
"Norwegen",2011,"KM7",0
"Österreich",2011,"KM7",0
"Polen",2011,"KM7",0
"Portugal",2011,"KM7",0
"Rumänien",2011,"KM7",0
"Russland",2011,"KM7",0
"Schweden",2011,"KM7",0
"Slowakei",2011,"KM7",0
"Slowenien",2011,"KM7",0
"Spanien",2011,"KM7",0
"Tschechien",2011,"KM7",0
"Türkei",2011,"KM7",0
"Ukraine",2011,"KM7",0
"Ungarn",2011,"KM7",0
"Zypern",2011,"KM7",0
"Ägypten",2011,"KM7",0
"Botswana",2011,"KM7",0
"Südafrika",2011,"KM7",0
"Argentinien",2011,"KM7",0
"Barbados",2011,"KM7",0
"Brasilien",2011,"KM7",0
"Chile",2011,"KM7",0
"Dominica",2011,"KM7",0
"Dominikanische Republik",2011,"KM7",0
"El Salvador",2011,"KM7",0
"Kanada",2011,"KM7",0
"Peru",2011,"KM7",0
"Uruguay",2011,"KM7",0
"USA",2011,"KM7",0
"Venezuela",2011,"KM7",0
"Vereinigte Arabische Emirate",2011,"KM7",0
"Bahrain",2011,"KM7",0
"Brunei",2011,"KM7",0
"Hong-Kong",2011,"KM7",0
"Indien",2011,"KM7",0
"Indonesien",2011,"KM7",0
"Israel",2011,"KM7",0
"Japan",2011,"KM7",27644
"Jordanien",2011,"KM7",0
"Katar",2011,"KM7",0
"Südkorea",2011,"KM7",0
"Kuwait",2011,"KM7",0
"Malaysia",2011,"KM7",500
"Oman",2011,"KM7",0
"Pakistan",2011,"KM7",0
"Saudi-Arabien",2011,"KM7",0
"Singapur",2011,"KM7",0
"Thailand",2011,"KM7",0
"Australien",2011,"KM7",0
"Neuseeland",2011,"KM7",0
"Belgien",2012,"KM7",0
"Bosnien-Herzegowina",2012,"KM7",0
"Bulgarien",2012,"KM7",0
"Dänemark",2012,"KM7",0
"Deutschland",2012,"KM7",1513
"Estland",2012,"KM7",0
"Finnland",2012,"KM7",0
"Frankreich",2012,"KM7",0
"Griechenland",2012,"KM7",0
"Grossbritannien",2012,"KM7",0
"Irland",2012,"KM7",0
"Italien",2012,"KM7",0
"Kosovo",2012,"KM7",0
"Lettland",2012,"KM7",0
"Litauen",2012,"KM7",0
"Luxemburg",2012,"KM7",0
"Malta",2012,"KM7",0
"Mazedonien",2012,"KM7",0
"Niederlande",2012,"KM7",0
"Norwegen",2012,"KM7",2440
"Österreich",2012,"KM7",0
"Polen",2012,"KM7",0
"Portugal",2012,"KM7",0
"Rumänien",2012,"KM7",0
"Russland",2012,"KM7",0
"Schweden",2012,"KM7",0
"Slowakei",2012,"KM7",0
"Slowenien",2012,"KM7",0
"Spanien",2012,"KM7",0
